Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
95634,3232,1691,1541,47.9,47.1,49.1
95635,1262,670,592,45.8,44.3,47.2
95636,1101,573,528,46.7,46.1,47.3
95637,370,185,185,52.7,52.8,52.6
95638,2255,1164,1091,42.2,40.9,43.7
95639,283,141,142,44.4,44.1,44.7
95640,11353,7740,3613,42.1,41.7,43.5
95641,1986,1055,931,50,50.4,49.5
95642,7164,3330,3834,49.4,47,51.1
95645,2037,1082,955,35,34.6,35.8
95646,158,95,63,44.5,43.8,44.7
95648,47354,22904,24450,41.2,39.7,42.9
95650,12447,6215,6232,44.9,43.9,45.6
95651,637,336,301,46.2,46.7,45.7
95652,739,341,398,22.6,21.4,23
95653,527,280,247,28.6,28.2,30.3
95655,4314,2183,2131,31.9,31.5,32.3
95658,6285,3142,3143,48.7,48.3,49
95659,702,372,330,46.9,45.3,49
95660,30714,15149,15565,32,30.8,33.4
95661,29791,14092,15699,40.3,38.4,41.8
95662,31558,15585,15973,40.7,39.3,42.3
95663,2377,1170,1207,46.9,46.9,46.9
95664,1380,715,665,48.3,48.6,47.8
95665,4426,2242,2184,51.2,49.9,52.7
95666,5336,2695,2641,54.4,54.2,54.7
95667,36726,17909,18817,47.7,46.4,48.6
95668,815,440,375,42,41,42.8
95669,2443,1184,1259,47.7,47.7,47.7
95670,52973,25694,27279,35.8,34.3,37.2
95672,4773,2413,2360,45.3,44.3,46.2
95673,15455,7781,7674,35.9,34.4,37.3
95674,935,479,456,42.5,41.3,43.6
95675,381,174,207,45.8,46.7,43.8
95677,23333,11364,11969,39.2,37.4,40.7
95678,41192,20063,21129,33.8,32.7,34.8
95679,55,28,27,47.1,47.3,44.8
95680,146,77,69,33.7,29.8,35.8
95681,1226,617,609,40.4,39,41.4
95682,29114,14249,14865,43.1,42,44
95683,6180,3047,3133,49.4,48.3,50.5
95684,3422,1743,1679,50.8,50.3,51.2
95685,4680,2236,2444,51.2,50.1,52.3
95686,1405,699,706,32.7,32.2,33.2
95687,65096,35533,29563,37.9,37.7,38.1
95688,34379,16980,17399,37.9,36.8,39
95689,1244,617,627,58.3,58.8,58.1
95690,2533,1353,1180,39,38.4,40
95691,34737,17068,17669,33.8,33.2,34.4
95692,4769,2324,2445,35.5,34.6,36.4
95693,6758,3371,3387,45.1,44.9,45.2
95694,9156,4650,4506,37.7,36.7,38.8
95695,37946,18579,19367,37.1,35,39
95697,425,202,223,36.5,39.4,33.1
95698,236,120,116,45.5,47,43
95699,154,81,73,50.3,48.3,53.5
95701,983,524,459,49.6,48.6,50.2
95703,897,473,424,48,48.2,47.9
95709,4772,2394,2378,48,47.7,48.3
95713,9495,4778,4717,46,45.3,46.8
95714,382,209,173,52.6,54.5,50.6
95715,115,65,50,47.4,47.8,46
95717,231,120,111,53.6,53.3,54.1
95720,157,77,80,53.4,52.4,54.5
95721,37,22,15,53.5,52.5,55.5
95722,4585,2304,2281,49.5,49.1,49.8
95724,27,22,5,28.1,28,29.5
95726,8842,4473,4369,46.5,46.2,46.9
95728,386,231,155,47,45.9,48.9
95735,68,40,28,52.5,53,52
95736,240,129,111,29.7,27.4,33.3
95742,7749,3903,3846,31.3,31.4,31.2
95746,21460,10625,10835,45.4,45.2,45.5
95747,51870,24765,27105,37.8,36.6,38.7
95757,40222,20292,19930,32.2,31,33.2
95758,60435,28882,31553,34.4,32.4,35.8
95762,38797,19120,19677,40.4,40.1,40.6
95765,33974,16403,17571,35.3,33.8,36.3
95776,21902,10995,10907,30.4,29.4,31.3
95811,7595,4265,3330,35.1,37.5,32
95814,9922,6209,3713,36.8,36.2,38.2
95815,24680,12454,12226,31.1,31.2,31
95816,15579,7617,7962,35,35.4,34.4
95817,13534,6326,7208,33.4,32.8,34
95818,19811,9274,10537,39.9,39.4,40.4
95819,17141,7978,9163,39.5,38.6,40.2
95820,34480,16751,17729,33,32.1,34
95821,33550,15986,17564,39.7,38,41.3
95822,42347,20298,22049,37.1,35,39.1
95823,73985,35609,38376,29.1,27.9,30.2
95824,30221,15263,14958,29.1,28.3,30
95825,31084,14675,16409,32.5,31.4,33.9
95826,36628,17816,18812,33.5,31.9,35
95827,20269,10031,10238,34.6,32.9,36.6
95828,57862,28518,29344,32,30.3,33.8
95829,24755,12174,12581,33.8,32.2,35
95830,934,491,443,41.9,41,42.9
95831,41321,19420,21901,44.6,42.3,46.4
95832,11924,5763,6161,25,23.8,26.2
95833,37293,18190,19103,31,30.3,31.8
95834,25899,12538,13361,29.1,28.7,29.5
95835,35936,17389,18547,32.6,32.1,33.1
95837,315,160,155,51.1,51.2,51.1
95838,36764,18185,18579,28.4,27.9,29
95841,19448,9347,10101,33.1,31.9,34.4
95842,31806,15457,16349,30.8,29.8,31.8
95843,45048,21869,23179,31.4,30.3,32.4
95864,22447,10613,11834,45.7,44.1,47
95901,31314,15660,15654,32.3,31.4,33.3
